"","score","pvalue_low","pvalue_high"
"IRF2",-1.01869498060302,0.143,0.856
"PAX6",0.647815646698275,0.931,0.068
"PBX1",-0.578110621090772,0.126,0.873
"RORA",0.47390748219858,0.847,0.152
"RREB1",0.0696439494736268,0.545,0.454
"SOX9",-0.0427366455195165,0.434,0.565
"REL",-0.250068108917672,0.269,0.73
"RELA",0.0995609664935214,0.626,0.373
"ZNF354C",-1.32833650769917,0.063,0.936
"CTCF",10,10,10
"REST",0.0983116212958655,0.618,0.381
"NFATC2",0.281437250385411,0.759,0.241
"INSM1",0.912483485003275,0.917,0.082
"NR4A2",0.159696689993695,0.671,0.328
"PLAG1",-0.00471660428722842,0.497,0.502
"FOS",0.395265725341226,0.802,0.197
"FOSL2",-0.283523426119395,0.306,0.694
"JUN",0.595546460878978,0.885,0.114
"NR2C2",0.00588344670340083,0.516,0.483
"NRF1",-1.07287190890732,0.049,0.95
"TCF7L2",0.162232459069455,0.625,0.374
"ZBTB33",-1.07119466663355,0.142,0.857
"ELK4",-0.200819808854922,0.297,0.702
"ESR2",-0.878827168906573,0.086,0.913
"IRF1",-0.22486828695535,0.325,0.674
"STAT1",-1.16275241802008,0.131,0.868
"STAT3",0.711851961156312,0.933,0.066
"YY1",-0.0245477329090376,0.503,0.496
"FOXP2",0.496089550753283,0.903,0.096
"SREBF1",0.748902539651313,0.966,0.033
"SREBF2",0.151784690398206,0.637,0.362
"THAP1",-0.589023948869276,0.168,0.831
"KLF5",0.109386578473247,0.605,0.394
"NFATC3",0.302829526181685,0.765,0.234
"POU6F1",-0.0668142616720448,0.454,0.545
"BHLHE41",-0.0125606023182237,0.469,0.53
"CENPB",1.06495725952678,0.952,0.047
"CREB3",10,10,10
"DBP",1.3339430839778,0.963,0.037
"ELF4",0.0405989774362006,0.587,0.412
"ETV6",-0.711111350064917,0.196,0.803
"FOXO3",0.31956857929241,0.789,0.21
"GRHL1",-1.04857267778431,0.066,0.933
"HINFP",0.592567169921728,0.817,0.182
"HNF1A",1.60711704523929,0.993,0.006
"HNF1B",-0.45759882600961,0.264,0.735
"HSF1",0.160843554677394,0.647,0.352
"KLF13",-1.21941015588748,0.064,0.935
"MLX",0.228621926110521,0.705,0.294
"MLXIPL",0.603744723701164,0.909,0.09
"NFIA",0.087251608599468,0.595,0.404
"NFIX",0.603495926110441,0.868,0.131
"SP4",-1.34182674692168,0.025,0.974
"SRF",0.101899261874196,0.622,0.378
"TFAP4",10,10,10
"TFCP2",0.0745576230864963,0.591,0.408
"TFEB",-0.160872397574239,0.33,0.669
"ZBTB7B",10,10,10
"ZBTB7C",0.724523347728224,0.919,0.08
"ZBTB18",0.218159086125772,0.728,0.272
"MNX1",0.537717712373196,0.857,0.142
"PDX1",-0.0915163874417276,0.402,0.597
"RHOXF1",-0.0745131293452303,0.45,0.549
"VAX2",10,10,10
"ESR1",-0.185607805397356,0.307,0.692
"ESRRB",-0.27224171070273,0.325,0.674
"NR3C1",0.221335933445278,0.706,0.293
"NR3C2",0.2575620282673,0.763,0.236
"RARA",0.384288872125938,0.772,0.227
"EGR3",-0.198020779325925,0.285,0.714
"EGR4",0.632994276325128,0.861,0.138
"GLIS2",0.945745569790199,0.973,0.026
"GLIS3",0.693738522655376,0.951,0.048
"HIC2",-0.258707624152443,0.256,0.743
"KLF16",1.12212436710464,0.982,0.017
"ZNF143",-0.283901739436871,0.293,0.706
"CUX1",0.462352028431062,0.814,0.185
"ONECUT2",-1.31659866747052,0.037,0.962
"ELK3",-0.901466095880882,0.132,0.867
"ERF",0.652858703904789,0.865,0.134
"ETS1",-1.09544189154509,0.083,0.917
"ETV3",-0.791145164840792,0.222,0.777
"HSF2",-0.559147732250485,0.191,0.808
