"","score","pvalue_low","pvalue_high"
"IRF2",-0.0749347208962974,0.408,0.591
"PAX6",-0.725389762258012,0.137,0.862
"PBX1",-1.32960567993801,0.009,0.99
"RORA",-0.185250828229902,0.33,0.669
"RREB1",-0.481279438352996,0.154,0.845
"SOX9",0.0860480850007799,0.58,0.419
"REL",0.0818610017674097,0.58,0.419
"RELA",1.61477078846446,0.971,0.028
"ZNF354C",0.964426371507981,0.883,0.117
"CTCF",10,10,10
"REST",-0.048943478511076,0.454,0.546
"NFATC2",0.226830651386146,0.705,0.294
"INSM1",0.0107602856781159,0.518,0.481
"NR4A2",-0.817279581323927,0.087,0.912
"PLAG1",-0.753340184922315,0.119,0.88
"FOS",-0.0308781239977729,0.462,0.537
"FOSL2",-0.225557297091341,0.299,0.7
"JUN",0.102865856096605,0.653,0.346
"NR2C2",-0.757256330590307,0.12,0.879
"NRF1",0.22407001049335,0.632,0.367
"TCF7L2",-0.383805342004524,0.207,0.792
"ZBTB33",0.168164909549964,0.585,0.414
"ELK4",-0.730427723563478,0.119,0.88
"ESR2",-0.475571165795814,0.165,0.834
"IRF1",-0.0798642648343619,0.423,0.576
"STAT1",0.228582131431303,0.623,0.376
"STAT3",-0.0155337017584405,0.52,0.479
"YY1",0.374123443378427,0.698,0.301
"FOXP2",-0.712637670865386,0.076,0.923
"SREBF1",0.109104862659664,0.641,0.358
"SREBF2",0.628376338896543,0.87,0.129
"THAP1",0.00336819258750151,0.446,0.553
"KLF5",-0.346921769734384,0.238,0.761
"NFATC3",0.222499124149975,0.714,0.285
"POU6F1",0.188556541042124,0.636,0.363
"BHLHE41",0.14598036653021,0.573,0.426
"CENPB",0.038805660935693,0.547,0.452
"CREB3",10,10,10
"DBP",0.480195205271995,0.818,0.181
"ELF4",0.543188043634106,0.748,0.251
"ETV6",-0.285150464022914,0.281,0.718
"FOXO3",-0.132110237900789,0.375,0.624
"GRHL1",0.0225495694407986,0.5,0.499
"HINFP",0.000449166536824469,0.522,0.477
"HNF1A",1.18372163117284,0.91,0.089
"HNF1B",2.08124419459124,0.967,0.032
"HSF1",1.62023347108807,0.976,0.023
"KLF13",-0.0623110797723107,0.398,0.601
"MLX",0.94218890054991,0.887,0.112
"MLXIPL",0.0173390880335421,0.536,0.463
"NFIA",-1.18953572252284,0.01,0.989
"NFIX",-0.19514726437453,0.3,0.699
"SP4",-0.128525206342086,0.372,0.627
"SRF",1.31240596341672,0.927,0.072
"TFAP4",10,10,10
"TFCP2",-0.964247337002601,0.037,0.962
"TFEB",-0.809005209893401,0.071,0.928
"ZBTB7B",10,10,10
"ZBTB7C",-0.721332397960675,0.106,0.893
"ZBTB18",-1.14342357701169,0.09,0.91
"MNX1",-0.158990840918804,0.351,0.648
"PDX1",-0.13902217051108,0.376,0.624
"RHOXF1",1.84454305862523,0.962,0.037
"VAX2",10,10,10
"ESR1",-0.938127540365203,0.074,0.925
"ESRRB",1.03161151827286,0.878,0.121
"NR3C1",-0.877365255209341,0.04,0.959
"NR3C2",-0.564219341520235,0.124,0.875
"RARA",-0.298144113236062,0.246,0.753
"EGR3",-1.01510496001219,0.066,0.933
"EGR4",-0.296219216534751,0.259,0.74
"GLIS2",-0.147937074207275,0.341,0.658
"GLIS3",-0.576201846806646,0.109,0.89
"HIC2",0.798756190823201,0.836,0.164
"KLF16",0.208100510315074,0.726,0.273
"ZNF143",1.91215949696395,0.986,0.013
"CUX1",-1.17555116862323,0.028,0.971
"ONECUT2",-0.401013446465245,0.195,0.804
"ELK3",-0.290595797581468,0.294,0.705
"ERF",0.55504587381983,0.83,0.169
"ETS1",0.169834344922801,0.602,0.397
"ETV3",0.692819114083843,0.758,0.241
"HSF2",-0.0404900691172408,0.451,0.548
"HSF4",-0.188727479012409,0.314,0.685
"IRF7",0.0256794901734162,0.548,0.451
"MEF2D",1.6875533001151,0.949,0.05
"MEIS1",-0.944145831273499,0.019,0.98
"MEIS2",-0.100106292107579,0.404,0.595
"MEIS3",0.742750861245017,0.852,0.147
"NFKB1",-0.189274192746904,0.342,0.657
"NFKB2",-0.198528746809657,0.306,0.693
"PKNOX2",-0.677894793042741,0.168,0.831
"POU2F1",-0.221736528673856,0.329,0.67
"POU6F2",10,10,10
"PROX1",0.0169766182222015,0.472,0.527
"RFX2",0.260288176950597,0.719,0.28
"SMAD3",-0.138312161724558,0.37,0.629
"RUNX2",-0.484098949077074,0.163,0.836
"MGA",-0.24313671940458,0.359,0.64
"TBX19",-0.210732807249866,0.287,0.712
"BHLHE40",-0.122261327317988,0.359,0.64
"CLOCK",-1.05880378464921,0.03,0.969
"HEY1",10,10,10
"MAX",1.51958731877683,0.932,0.067
"MNT",10,10,10
"OLIG1",-0.162157045846426,0.346,0.654
"ATF7",-1.02247162420684,0.082,0.917
"CEBPB",-0.115793199883755,0.4,0.599
"CEBPG",3.30601487933619,0.998,0.001
"CREB3L1",-0.217555159618857,0.276,0.723
"TEF",0.139971846491243,0.66,0.339
"XBP1",0.348377037453077,0.742,0.257
"FOXO6",-1.29593738289607,0.059,0.94
"RXRB",0.486018678030519,0.824,0.175
"RXRG",0.00642324469360508,0.481,0.518
"TP53",0.315576106571287,0.726,0.273
"GMEB2",2.73694796611445,0.999,0
"MTF1",-0.561451650437863,0.185,0.814
"ELK1",10,10,10
"HMBOX1",-1.15472265323013,0.018,0.981
"FOXK1",10,10,10
"HIF1A",-0.325658847389169,0.223,0.776
"NEUROD1",-0.655013156316342,0.122,0.877
"NFIC",-0.144742532581727,0.346,0.653
"NFYA",-0.267004711458702,0.233,0.766
"NR2F2",-0.130384419464176,0.32,0.679
"PAX5",10,10,10
"PBX3",-0.974782419087383,0.003,0.996
"RBPJ",-0.0431825354462599,0.451,0.548
"RELB",0.198271871857385,0.692,0.307
"SIX2",-0.22843270768094,0.33,0.669
"SOX13",-1.00655743474534,0.058,0.941
"TFDP1",0.614514086771296,0.836,0.163
"ZBTB7A",0.485755515152757,0.829,0.17
"ZEB1",-0.133281896124797,0.38,0.619
"ZNF24",2.0603747953726,0.985,0.014
"ZNF384",0.496448557449556,0.812,0.187
"ZNF282",1.58705296159165,0.924,0.075
"RORB",-2.15212635424257,0.001,0.998
"RORC",1.6516970494984,0.96,0.039
"TFE3",1.12316006005949,0.95,0.049
"VDR",-0.281618530564234,0.277,0.722
"IRF3",0.0571233153299752,0.584,0.415
"ARNT2",0.359015517988984,0.697,0.302
"ATF6",-0.224476225406225,0.329,0.67
"BACH2",0.244142130272828,0.65,0.349
"CREB3L4",-0.791119467792903,0.108,0.891
"ELF2",0.0603004643842266,0.608,0.391
"ETS2",0.474918952464784,0.712,0.287
"FOXN3",0.020756253194186,0.508,0.491
"HES6",-0.00142842392343136,0.521,0.478
"IRF6",-0.213884950115019,0.313,0.686
"KLF10",-0.084191744239407,0.409,0.59
"KLF11",0.740006027940034,0.838,0.161
"KLF2",0.372483457414277,0.739,0.26
"KLF3",-1.16159521124158,0.074,0.925
"KLF6",-0.0899371354714268,0.412,0.587
"MAF",0.117825616221424,0.6,0.399
"MAFA",-0.160111398132865,0.358,0.641
"MAZ",-0.0359331859153766,0.479,0.52
"MSANTD3",1.24726361840658,0.881,0.118
"NR1D1",0.145950205143686,0.645,0.355
"NR1D2",0.392642117764656,0.74,0.259
"NR2C1",0.171772504307655,0.595,0.404
"NR6A1",-0.938015347948639,0.04,0.959
"OVOL2",-0.32193066124768,0.271,0.729
