"","score","pvalue_low","pvalue_high"
"IRF2",0.466203052458023,0.757,0.243
"PAX6",0.656234449833957,0.817,0.183
"PBX1",1.67597056009604,0.987,0.013
"RORA",0.501312922848639,0.789,0.211
"RREB1",0.850860472517783,0.872,0.128
"SOX9",0.017396880951933,0.513,0.487
"REL",-0.038626227535294,0.438,0.562
"RELA",-0.759731915542989,0.121,0.879
"ZNF354C",-0.944058966283162,0.131,0.869
"CTCF",-0.91366766804746,0.113,0.887
"REST",0.118703544294003,0.579,0.421
"NFATC2",-0.196416740775765,0.314,0.686
"INSM1",-0.235341354759241,0.295,0.705
"NR4A2",0.356176590278638,0.761,0.239
"PLAG1",0.937476737690904,0.909,0.091
"FOS",0.268119294483354,0.697,0.303
"FOSL2",0.371573260857913,0.66,0.34
"JUN",0.0299889180303921,0.521,0.479
"NR2C2",0.886934569513077,0.832,0.168
"NRF1",-0.549132723079364,0.271,0.729
"TCF7L2",1.13629842140138,0.931,0.069
"ZBTB33",0.090050362864941,0.565,0.435
"ELK4",0.683397122055956,0.806,0.194
"ESR2",0.306035148363539,0.729,0.271
"IRF1",0.117371725903931,0.6,0.4
"STAT1",-0.267617542867744,0.298,0.702
"STAT3",0.205298719244698,0.681,0.319
"YY1",-0.613829832223696,0.183,0.817
"FOXP2",0.86634840714563,0.875,0.125
"SREBF1",-0.213532518558272,0.321,0.679
"SREBF2",-0.126551142660916,0.391,0.609
"THAP1",0.419643227352918,0.701,0.299
"KLF5",0.422506388023973,0.731,0.269
"NFATC3",-0.207402327447001,0.347,0.653
"POU6F1",0.0978243802055212,0.588,0.412
"BHLHE41",-0.0769255823486999,0.434,0.566
"CENPB",-0.214029272716096,0.288,0.712
"CREB3",10,10,10
"DBP",-0.219017609315674,0.315,0.685
"ELF4",-0.660523744137945,0.203,0.797
"ETV6",0.799580591696848,0.844,0.156
"FOXO3",0.294541205190761,0.72,0.28
"GRHL1",0.0604148204814942,0.548,0.452
"HINFP",0.20509346776646,0.692,0.308
"HNF1A",-0.295423645274638,0.297,0.703
"HNF1B",-0.8991339273844,0.161,0.839
"HSF1",-1.05051764346617,0.075,0.925
"KLF13",0.385199895767633,0.761,0.239
"MLX",-0.542369060099836,0.163,0.837
"MLXIPL",0.0171813488898412,0.496,0.504
"NFIA",1.62911749882006,0.991,0.009
"NFIX",-0.172536279728712,0.348,0.652
"SP4",-0.345682526085154,0.28,0.72
"SRF",10,10,10
"TFAP4",-1.36825679998233,0.066,0.934
"TFCP2",1.20277543232137,0.92,0.08
"TFEB",1.09624756824352,0.939,0.061
"ZBTB7B",0.120599797525975,0.602,0.398
"ZBTB7C",0.44885694866069,0.757,0.243
"ZBTB18",1.35689074081425,0.921,0.079
"MNX1",0.391785301235343,0.741,0.259
"PDX1",0.262117709214528,0.678,0.322
"RHOXF1",-1.17508212444601,0.068,0.932
"VAX2",-0.158358748851137,0.352,0.648
"ESR1",1.23243553995763,0.934,0.066
"ESRRB",-0.415519960081018,0.257,0.743
"NR3C1",1.02043095671654,0.892,0.108
"NR3C2",0.9470196664361,0.906,0.094
"RARA",-0.0538095708225258,0.448,0.552
"EGR3",0.687741315166041,0.833,0.167
"EGR4",0.357215994683476,0.728,0.272
"GLIS2",-0.245855667081159,0.285,0.715
"GLIS3",0.603423713420959,0.823,0.177
"HIC2",-1.16505558275087,0.091,0.909
"KLF16",-0.268202134918303,0.26,0.74
"ZNF143",-1.24489397496149,0.024,0.976
"CUX1",1.45500867593254,0.981,0.019
"ONECUT2",0.961419745909588,0.898,0.102
"ELK3",0.0130126576638017,0.501,0.499
"ERF",-0.19063444613065,0.315,0.685
"ETS1",0.268612157141078,0.701,0.299
"ETV3",-0.0631194209942723,0.447,0.553
"HSF2",-0.136541112562034,0.37,0.63
"HSF4",-0.119922435888192,0.373,0.627
