"","score","pvalue_low","pvalue_high"
"IRF2",-0.534542526382254,0.314,0.685
"PAX6",-0.103934094902667,0.407,0.592
"PBX1",-1.94206857980961,0,0.999
"RORA",-0.18740071554189,0.317,0.683
"RREB1",-0.576703204980078,0.13,0.869
"SOX9",0.331753790076463,0.78,0.219
"REL",-0.331718991781614,0.264,0.735
"RELA",1.87896736379563,1,0
"ZNF354C",-0.156193138677258,0.32,0.679
"CTCF",10,10,10
"REST",0.103825809181496,0.657,0.343
"NFATC2",0.0266548757010712,0.535,0.465
"INSM1",0.247945247589868,0.728,0.272
"NR4A2",-0.356134078914358,0.262,0.737
"PLAG1",-0.278502145487777,0.255,0.745
"FOS",-0.0732237713967596,0.409,0.591
"FOSL2",-0.606842436630494,0.145,0.854
"JUN",0.207386834412371,0.739,0.261
"NR2C2",-0.617708105246414,0.186,0.813
"NRF1",-0.00981799238318597,0.482,0.517
"TCF7L2",-0.609744737685725,0.104,0.895
"ZBTB33",-0.0721031973049619,0.429,0.57
"ELK4",-0.919360129370198,0.079,0.92
"ESR2",-1.15975603453243,0.081,0.918
"IRF1",0.108610414848724,0.588,0.411
"STAT1",0.0955717538820946,0.523,0.476
"STAT3",-0.0722912851006932,0.418,0.582
"YY1",-0.091534793934447,0.421,0.579
"FOXP2",-0.103372696950421,0.416,0.583
"SREBF1",0.199124738047619,0.72,0.28
"SREBF2",0.984096603699394,0.906,0.094
"THAP1",-0.150055718522867,0.394,0.605
"KLF5",-0.0242729476380101,0.481,0.518
"NFATC3",-0.226801776654391,0.297,0.703
"POU6F1",-0.00984530709621426,0.477,0.523
"BHLHE41",-0.132560275680468,0.392,0.607
"CENPB",1.36673363865124,0.979,0.02
"CREB3",10,10,10
"DBP",1.30278585050978,0.954,0.046
"ELF4",0.747864256327513,0.77,0.23
"ETV6",-1.08498383035779,0.089,0.91
"FOXO3",0.0680013234466273,0.571,0.428
"GRHL1",-1.0904483487448,0.085,0.914
"HINFP",0.839350488608077,0.893,0.107
"HNF1A",2.03247275887669,0.996,0.004
"HNF1B",1.35303437511979,0.901,0.099
"HSF1",1.65621955360341,0.956,0.044
"KLF13",-1.18837989033809,0.04,0.959
"MLX",1.30282705018109,0.944,0.056
"MLXIPL",0.0456723298416722,0.559,0.441
"NFIA",-1.15426671944756,0.011,0.988
"NFIX",0.422016855870105,0.815,0.185
"SP4",-0.49211417636311,0.27,0.729
"SRF",1.36070667351,0.953,0.047
"TFAP4",10,10,10
"TFCP2",-0.769279197792154,0.098,0.901
"TFEB",-1.32401006793567,0.02,0.979
"ZBTB7B",10,10,10
"ZBTB7C",-0.271943613818361,0.229,0.77
"ZBTB18",-0.621447678074113,0.203,0.796
"MNX1",0.275437044563282,0.703,0.296
"PDX1",-0.266131385959954,0.272,0.727
"RHOXF1",1.29118265199271,0.878,0.122
"VAX2",10,10,10
"ESR1",-1.0736016595706,0.072,0.927
