"","score","pvalue_low","pvalue_high"
"IRF2",1.14911145096548,0.947,0.051
"PAX6",0.236202105160484,0.678,0.32
"PBX1",2.23423350001353,0.998,0
"RORA",0.0556693324279722,0.551,0.447
"RREB1",1.06065185807541,0.918,0.08
"SOX9",-0.124853545406439,0.379,0.619
"REL",0.240209075301244,0.712,0.286
"RELA",-1.33595535989915,0.007,0.991
"ZNF354C",-0.0171502234963468,0.446,0.552
"CTCF",-0.550810779904655,0.205,0.793
"REST",-0.0539070074355858,0.452,0.546
"NFATC2",-0.23984583249117,0.29,0.708
"INSM1",-1.05902022173786,0.087,0.911
"NR4A2",0.109162998104025,0.634,0.364
"PLAG1",0.471421739025202,0.78,0.218
"FOS",0.021523344601677,0.541,0.457
"FOSL2",0.275049026691477,0.742,0.256
"JUN",-0.394309319782036,0.219,0.779
"NR2C2",1.02799849661669,0.884,0.114
"NRF1",0.224086569797001,0.626,0.372
"TCF7L2",1.21350767259109,0.946,0.052
"ZBTB33",-0.0285043751518973,0.471,0.527
"ELK4",1.03597226014352,0.916,0.082
"ESR2",0.666263645760602,0.85,0.15
"IRF1",-0.124012424265429,0.363,0.635
"STAT1",0.176336691783002,0.658,0.34
"STAT3",-0.0395951973076478,0.454,0.544
"YY1",-0.27490304300396,0.288,0.71
"FOXP2",0.358899732893221,0.734,0.264
"SREBF1",-0.598251706298317,0.151,0.847
"SREBF2",-0.825715182815667,0.083,0.915
"THAP1",0.473866009544422,0.8,0.198
"KLF5",0.168462727343294,0.664,0.335
"NFATC3",-0.204693418881506,0.329,0.669
"POU6F1",-0.0450866202627164,0.437,0.561
"BHLHE41",-0.196348841864133,0.321,0.677
"CENPB",-1.07930975727105,0.073,0.925
"CREB3",10,10,10
"DBP",-0.774177707151709,0.157,0.841
"ELF4",-0.332599406432927,0.354,0.644
"ETV6",1.35142534454264,0.967,0.031
"FOXO3",0.265166749192537,0.687,0.311
"GRHL1",0.496297720532124,0.797,0.201
"HINFP",-0.509792798194283,0.181,0.817
"HNF1A",-0.819373430485587,0.152,0.846
"HNF1B",-0.454693095111753,0.331,0.667
"HSF1",-1.00753616331085,0.112,0.886
"KLF13",1.22510394328788,0.957,0.041
"MLX",-0.999311504665361,0.085,0.913
"MLXIPL",-0.292140962374402,0.333,0.665
"NFIA",1.74377710279936,0.99,0.008
"NFIX",-0.282295489405323,0.301,0.697
"SP4",-0.064014849961977,0.456,0.542
"SRF",10,10,10
"TFAP4",-1.13280828166639,0.094,0.904
"TFCP2",1.20387524268576,0.918,0.08
"TFEB",1.65324460793571,0.982,0.016
"ZBTB7B",-0.561746386297745,0.237,0.761
"ZBTB7C",0.248632300279167,0.714,0.284
"ZBTB18",1.22545595144212,0.872,0.126
"MNX1",-0.0941238389623995,0.429,0.569
"PDX1",0.555834059495124,0.792,0.206
"RHOXF1",-0.530844875133809,0.358,0.64
"VAX2",0.27180552344858,0.699,0.299
"ESR1",1.31692748973469,0.933,0.065
"ESRRB",-1.10506080314456,0.035,0.963
"NR3C1",0.566425979441034,0.787,0.211
"NR3C2",0.532302084680558,0.794,0.204
"RARA",0.156463851063222,0.6,0.398
"EGR3",0.237214747984101,0.729,0.269
"EGR4",0.221213572328548,0.745,0.253
"GLIS2",-0.692887460810394,0.134,0.864
"GLIS3",0.0969508612170218,0.583,0.415
"HIC2",-0.681634877997843,0.185,0.813
"KLF16",-0.963804929960515,0.068,0.93
"ZNF143",-0.586629718365164,0.269,0.729
"CUX1",1.00453537337766,0.89,0.108
"ONECUT2",2.21765749030305,0.994,0.004
"ELK3",0.680427134333597,0.844,0.155
"ERF",-1.54265007393117,0.011,0.987
"ETS1",0.96910123408621,0.909,0.089
"ETV3",-0.012176896610845,0.5,0.498
"HSF2",-0.0116401924323333,0.487,0.511
"HSF4",-0.444115109950706,0.219,0.779
"IRF7",-0.53054720888928,0.25,0.748
"MEF2D",-0.764714724219865,0.167,0.831
"MEIS1",0.927055996854364,0.863,0.135
"MEIS2",-0.0784070076866702,0.444,0.554
"MEIS3",-1.0966531200658,0.058,0.94
"NFKB1",-0.0907080263127866,0.416,0.582
"NFKB2",-1.2076069709336,0.057,0.941
"PKNOX2",-0.0860868624834544,0.398,0.6
"POU2F1",0.599039702388918,0.851,0.147
"POU6F2",1.11102072716109,0.948,0.05
"PROX1",1.37105586325912,0.986,0.012
"RFX2",0.0801727884581688,0.582,0.416
"SMAD3",1.37663863807132,0.965,0.033
"RUNX2",1.11085537762136,0.984,0.014
"MGA",0.796168987836238,0.832,0.166
"TBX19",-0.00733271687038984,0.472,0.526
"BHLHE40",-0.125184736679604,0.36,0.638
"CLOCK",1.54324840666374,0.954,0.044
"HEY1",0.171541004561823,0.604,0.394
"MAX",-0.501472036029961,0.362,0.636
"MNT",-0.68997003136094,0.168,0.83
"OLIG1",-0.127187555294347,0.375,0.623
"ATF7",1.21030454644627,0.898,0.1
"CEBPB",-0.387369684357711,0.326,0.672
"CEBPG",-0.782091106647226,0.106,0.892
"CREB3L1",0.34759784622595,0.732,0.266
"TEF",-0.316779965093946,0.302,0.696
"XBP1",-1.12987794478629,0.023,0.975
"FOXO6",0.855977105000949,0.925,0.073
"RXRB",-0.780275202774477,0.134,0.864
"RXRG",0.604357455170071,0.821,0.177
"TP53",-0.369272749218572,0.217,0.781
"GMEB2",-1.23158680343304,0.058,0.94
"MTF1",0.611083677303124,0.848,0.15
"ELK1",-0.767580711283724,0.109,0.889
"HMBOX1",1.80497885779621,0.986,0.012
"FOXK1",-0.169563257796804,0.311,0.688
"HIF1A",0.809786680202476,0.895,0.103
"NEUROD1",0.549548536400374,0.785,0.213
"NFIC",-0.335236341012951,0.243,0.755
"NFYA",0.758017733381091,0.826,0.172
"NR2F2",1.15527169089432,0.933,0.065
"PAX5",2.28496863435825,0.992,0.006
"PBX3",1.01158960706593,0.898,0.1
"RBPJ",0.146415349362816,0.632,0.366
"RELB",-0.551904629958643,0.242,0.756
"SIX2",-0.489413969390397,0.321,0.677
"SOX13",0.302661073599812,0.727,0.271
"TFDP1",0.0663127776836522,0.578,0.42
"ZBTB7A",-1.08903300860114,0.062,0.936
"ZEB1",0.880828997993065,0.851,0.147
"ZNF24",-0.479314912613028,0.381,0.617
"ZNF384",-0.610665875708926,0.123,0.875
"ZNF282",-0.442162099079225,0.252,0.746
"RORB",1.63746525166935,0.984,0.014
"RORC",-1.01816342169502,0.072,0.926
"TFE3",-1.41829246042204,0.002,0.996
"VDR",0.372682223546389,0.736,0.262
"IRF3",-0.762580723316302,0.123,0.875
"ARNT2",-0.0998747787202182,0.394,0.604
"ATF6",0.631331027368437,0.82,0.178
"BACH2",-0.0443606723977985,0.449,0.549
"CREB3L4",0.655830329546993,0.812,0.186
"ELF2",-0.038933154212366,0.476,0.522
"ETS2",0.166766272077216,0.579,0.419
"FOXN3",1.23255489874373,0.958,0.04
"HES6",-0.537557346204403,0.164,0.834
"IRF6",0.242107615646376,0.733,0.265
"KLF10",0.577757397244857,0.85,0.148
"KLF11",-0.0943485181479347,0.39,0.608
"KLF2",-0.876727429398084,0.159,0.839
"KLF3",0.994829264061319,0.898,0.1
"KLF6",0.0110123612148833,0.52,0.478
"MAF",-0.171422742888604,0.347,0.651
"MAFA",0.0598064200691295,0.585,0.413
"MAZ",-0.626304196449069,0.134,0.864
"MSANTD3",-0.482354307985757,0.208,0.79
"NR1D1",-0.190292659690975,0.291,0.707
"NR1D2",0.24105522414533,0.697,0.301
"NR2C1",-0.17811175510281,0.364,0.634
"NR6A1",0.717950675467007,0.861,0.137
"OVOL2",-0.281876095300542,0.272,0.726
"PLAGL2",0.692588958241501,0.849,0.149
"PPARD",-0.410440257828166,0.216,0.782
"RFX7",2.13817648869815,0.998,0
"SMAD5",-0.257460523929158,0.316,0.682
"SOX12",-0.468103168250474,0.207,0.791
"TFAP2E",-0.623666266526989,0.293,0.705
"THAP11",-1.07567932196001,0.061,0.937
"THRB",1.14935297250233,0.912,0.086
"VEZF1",-0.0122324822921103,0.476,0.522
"ZBTB26",-0.144362611530603,0.388,0.61
"ZBTB6",-0.0975135175281591,0.386,0.613
"ZKSCAN1",-1.40299686276644,0.031,0.967
"ZNF135",0.779199150886877,0.844,0.154
"ZNF136",-0.160057327724688,0.353,0.645
"ZNF140",-0.0903017191853918,0.42,0.578
"ZNF274",-0.539934839046614,0.297,0.701
"ZNF317",-0.671046859524299,0.216,0.782
"ZNF382",0.722407670688427,0.818,0.18
"ZNF460",-0.128242780722389,0.39,0.608
"ZNF528",0.013265513775632,0.516,0.482
"ZNF682",0.841182499210065,0.876,0.122
"ZNF684",0.156371259020866,0.606,0.392
"ZNF75D",0.449979328743132,0.8,0.198
"ZSCAN29",0.0775962004316473,0.573,0.425
"ASCL1",-0.38921540678842,0.19,0.808
"ATF3",-0.0868950136331587,0.411,0.587
"BCL6",0.56563975837431,0.845,0.153
"E2F3",1.65390964592693,0.975,0.023
"E2F4",-0.594849126777825,0.149,0.849
"HES1",0.32827287222852,0.804,0.194
"NRL",0.397582091315193,0.807,0.191
"SOX4",-0.296602532023598,0.375,0.623
"SP1",0.0990710014073037,0.593,0.405
"SP2",-0.169947639896118,0.356,0.642
"SP3",0.232044170616473,0.682,0.316
"TCFL5",0.0272977624146073,0.496,0.502
"ZNF740",-0.740816793811474,0.163,0.835
"ATF2",0.174452401579563,0.654,0.344
"BACH1",-0.0321703950311034,0.479,0.519
"NFYC",0.995676822146531,0.884,0.114
"PRDM4",0.0579667721595834,0.546,0.452
"ZBTB14",-0.258802640928973,0.254,0.744
"ZKSCAN5",0.0137581602318316,0.529,0.47
"ZNF148",0.656790921665135,0.806,0.192
"ZNF16",0.0361070113474166,0.541,0.457
"ZNF341",-0.0847049993700778,0.445,0.553
"ZNF449",0.0607838893030608,0.553,0.445
"ZNF652",-0.308683444149813,0.213,0.785
"ATF4",-0.778683217483276,0.111,0.887
"BATF3",0.0567784549013746,0.56,0.438
"CEBPD",-0.981711503810265,0.046,0.952
"CREB1",1.36474533858916,0.95,0.048
"E2F6",-0.145377474259111,0.379,0.619
"EGR1",-0.125424134938015,0.391,0.607
"EHF",0.304093439645642,0.745,0.253
"ELF1",0.291950685693601,0.736,0.262
"ELF3",-0.962991432206705,0.055,0.943
"ESRRA",-0.817211199508389,0.126,0.872
"ETV1",1.05710651282511,0.927,0.071
"ETV5",0.702030267020035,0.894,0.104
"FOSL1",-1.21633601343472,0.048,0.951
"FOXA2",-0.302086168918445,0.301,0.697
