"","score","pvalue_low","pvalue_high"
"IRF2",0.47159297670986,0.748,0.252
"PAX6",-0.359724216923807,0.17,0.83
"PBX1",0.649209435968143,0.844,0.156
"RORA",-0.444410105846265,0.226,0.774
"RREB1",0.194930419878235,0.654,0.346
"SOX9",0.221017302737856,0.722,0.278
"REL",0.182509777972699,0.645,0.355
"RELA",-0.632306389437007,0.134,0.866
"ZNF354C",1.41619983628472,0.92,0.08
"CTCF",0.075573724834365,0.643,0.357
"REST",-0.653734901274988,0.223,0.777
"NFATC2",-0.289349624197548,0.268,0.732
"INSM1",-1.79349846313073,0.006,0.994
"NR4A2",0.0515507114286975,0.556,0.444
"PLAG1",-0.122732524659005,0.351,0.649
"FOS",-0.629977009508549,0.186,0.814
"FOSL2",0.0157926673480439,0.529,0.471
"JUN",-0.98561867097311,0.059,0.941
"NR2C2",0.341666906122231,0.745,0.255
"NRF1",0.886071541749837,0.964,0.036
"TCF7L2",0.0141802704028441,0.492,0.508
"ZBTB33",0.746279568779879,0.828,0.172
"ELK4",0.301990327118629,0.712,0.288
"ESR2",0.367865583234132,0.747,0.253
"IRF1",0.0114910314501535,0.506,0.494
"STAT1",0.327982132376164,0.714,0.286
"STAT3",-0.647288980337564,0.132,0.868
"YY1",-0.060938233913501,0.446,0.554
"FOXP2",-0.154005068239058,0.344,0.656
"SREBF1",-0.981212145780377,0.02,0.98
"SREBF2",-0.619971765643197,0.198,0.802
"THAP1",0.12245968711718,0.592,0.408
"KLF5",-0.32924625542164,0.265,0.735
"NFATC3",0.0416638497444314,0.558,0.442
"POU6F1",0.522153225289784,0.822,0.178
"BHLHE41",0.123851753995196,0.603,0.397
"CENPB",-1.72629292216868,0.006,0.994
"CREB3",10,10,10
"DBP",-0.889313537292614,0.013,0.987
"ELF4",-0.0147666826007503,0.48,0.52
"ETV6",0.4352044474453,0.73,0.27
"FOXO3",-0.130225228521879,0.343,0.657
"GRHL1",0.329806516489729,0.719,0.281
"HINFP",-0.795626833385951,0.139,0.861
"HNF1A",-0.79348390615687,0.041,0.959
"HNF1B",0.157659291018279,0.621,0.379
"HSF1",-0.0734548647840818,0.414,0.586
"KLF13",0.808296930739928,0.903,0.097
"MLX",-0.460236464495067,0.256,0.744
"MLXIPL",-0.749927045779387,0.145,0.855
"NFIA",0.208610873404825,0.662,0.338
"NFIX",-0.162841303794311,0.292,0.708
"SP4",0.961785976014157,0.953,0.047
"SRF",10,10,10
"TFAP4",0.100648247048577,0.662,0.338
"TFCP2",0.123381096655275,0.612,0.388
"TFEB",0.530114493159627,0.782,0.218
"ZBTB7B",-0.888426790162361,0.019,0.981
"ZBTB7C",0.0527509558569659,0.54,0.46
"ZBTB18",0.0282916731380138,0.552,0.448
"MNX1",-0.359161877008442,0.27,0.73
"PDX1",0.267874692279088,0.691,0.309
"RHOXF1",0.308010659459341,0.837,0.163
"VAX2",0.766259427631495,0.848,0.152
"ESR1",0.121717725399308,0.58,0.42
"ESRRB",-0.269187171332644,0.44,0.56
"NR3C1",0.170852733060685,0.656,0.344
"NR3C2",0.0913293561001768,0.602,0.398
"RARA",-0.0165640546630063,0.48,0.52
"EGR3",0.0830400140415203,0.571,0.429
"EGR4",-0.626502437859518,0.174,0.826
"GLIS2",-1.06178401323346,0.01,0.99
"GLIS3",-0.455178209313073,0.233,0.767
"HIC2",0.111583093896949,0.644,0.356
"KLF16",-1.218717758165,0.014,0.986
"ZNF143",0.361689545134113,0.872,0.128
"CUX1",0.205114575938066,0.701,0.299
"ONECUT2",1.3892324033615,0.967,0.033
"ELK3",0.623919153370185,0.793,0.207
"ERF",-1.09685419253144,0.077,0.923
"ETS1",0.728696554939512,0.875,0.125
"ETV3",0.601889047170957,0.797,0.203
"HSF2",0.541921067943064,0.785,0.215
"HSF4",-0.94667145350824,0.053,0.947
"IRF7",-0.729581642880293,0.154,0.846
"MEF2D",0.332700931093898,0.838,0.162
"MEIS1",0.23503628315458,0.709,0.291
"MEIS2",-0.625109271302746,0.18,0.82
"MEIS3",-0.93331995929072,0.117,0.883
"NFKB1",0.83119416000492,0.902,0.098
"NFKB2",-0.988641541688593,0.064,0.936
"PKNOX2",-0.381829538798602,0.35,0.65
"POU2F1",0.167146947646338,0.636,0.364
"POU6F2",0.0796323579300132,0.562,0.438
"PROX1",0.563170850187973,0.784,0.216
"RFX2",0.0412349980060496,0.532,0.468
"SMAD3",0.262182230801156,0.698,0.302
"RUNX2",0.0561108342660957,0.546,0.454
"MGA",0.793784564083889,0.875,0.125
"TBX19",0.281314547246453,0.678,0.322
"BHLHE40",-0.45010720477207,0.205,0.795
"CLOCK",0.416792638272085,0.784,0.216
"HEY1",-0.364254279426477,0.3,0.7
"MAX",0.286898644558063,0.78,0.22
"MNT",-0.538756569198364,0.121,0.879
"OLIG1",-0.896779667528809,0.147,0.853
"ATF7",0.262163439058932,0.68,0.32
"CEBPB",-0.822564354644001,0.093,0.907
"CEBPG",0.237419306804183,0.632,0.368
"CREB3L1",-0.175266390874178,0.345,0.655
"TEF",-0.739695243705625,0.064,0.936
"XBP1",-1.72991405611911,0.015,0.985
"FOXO6",0.058381908415985,0.527,0.473
"RXRB",-0.57762834867487,0.163,0.837
"RXRG",0.344391579443512,0.728,0.272
"TP53",-0.483046428263457,0.297,0.703
"GMEB2",-0.0790624610180284,0.434,0.566
"MTF1",-0.0548836301875257,0.426,0.574
"ELK1",0.0530200493878391,0.582,0.418
"HMBOX1",0.454648452427912,0.771,0.229
"FOXK1",0.128393178579488,0.603,0.397
"HIF1A",0.172769078499498,0.604,0.396
"NEUROD1",-0.0654096487622544,0.437,0.563
"NFIC",-0.854753786960725,0.075,0.925
"NFYA",0.88726135053178,0.922,0.078
"NR2F2",0.129091868284646,0.608,0.392
"PAX5",1.53128282188833,0.973,0.027
"PBX3",0.159667062980582,0.653,0.347
"RBPJ",1.63315478901769,0.966,0.034
"RELB",-0.571084314828223,0.113,0.887
"SIX2",-0.93889526692479,0.048,0.952
"SOX13",-0.386132566450249,0.157,0.843
"TFDP1",0.0537188034026127,0.531,0.469
"ZBTB7A",-1.04710137506572,0.055,0.945
"ZEB1",0.236598066736319,0.692,0.308
"ZNF24",0.402391650278331,0.804,0.196
"ZNF384",-0.500973719548715,0.276,0.724
"ZNF282",0.77633585471203,0.972,0.028
"RORB",-0.345887833975108,0.249,0.751
"RORC",0.0418820925931933,0.59,0.41
"TFE3",-1.06362136881241,0.038,0.962
"VDR",0.118999001812667,0.6,0.4
