,score,pvalue_low,pvalue_high
IRF2,0.304650468,0.937,0.063
PAX6,-0.099088781,0.238,0.762
PBX1,-0.279958377,0.013,0.987
RORA,-0.166854574,0.09,0.91
RREB1,0.097443975,0.732,0.268
SOX9,-0.152095632,0.18,0.82
REL,-0.061567669,0.325,0.675
RELA,0.404855695,0.975,0.025
ZNF354C,-0.198437782,0.239,0.761
CTCF,10,10,10
REST,0.493794807,0.911,0.089
NFATC2,-0.003520032,0.485,0.515
INSM1,-0.13765276,0.21,0.79
NR4A2,-0.32108518,0.031,0.969
PLAG1,-0.236621962,0.138,0.862
FOS,-0.217935499,0.041,0.959
FOSL2,-0.320837369,0.094,0.906
JUN,-0.32917603,0.005,0.995
NR2C2,0.092459342,0.748,0.252
NRF1,0.183278857,0.873,0.127
TCF7L2,0.009150202,0.527,0.473
ZBTB33,0.669992588,0.968,0.032
ELK4,-0.008468392,0.473,0.527
ESR2,-0.049347597,0.407,0.593
IRF1,-0.004764163,0.498,0.502
STAT1,0.421200867,0.929,0.071
STAT3,-0.22909585,0.032,0.968
YY1,0.050657041,0.561,0.439
FOXP2,-0.18270449,0.054,0.946
SREBF1,0.020525457,0.633,0.367
SREBF2,-0.030080161,0.372,0.628
THAP1,-0.053876558,0.433,0.567
KLF5,-0.138529024,0.302,0.698
NFATC3,-0.076834323,0.366,0.634
POU6F1,0.648542778,0.934,0.066
BHLHE41,-0.046658991,0.392,0.608
CENPB,0.005459125,0.526,0.474
CREB3,10,10,10
DBP,0.669679832,0.951,0.049
ELF4,0.097878657,0.708,0.292
ETV6,-0.104862849,0.234,0.766
FOXO3,0.071049827,0.616,0.384
GRHL1,-0.058452126,0.425,0.575
HINFP,0.015021123,0.546,0.454
HNF1A,3.348202147,1,0
HNF1B,0.53374967,0.46,0.54
HSF1,1.037832392,0.996,0.004
KLF13,-0.036597911,0.37,0.63
MLX,0.852871725,1,0
MLXIPL,-0.101919441,0.16,0.84
NFIA,-0.113898876,0.159,0.841
NFIX,0.013027625,0.53,0.47
SP4,0.096971041,0.709,0.291
SRF,0.009559889,0.53,0.47
TFAP4,10,10,10
TFCP2,-0.013856215,0.435,0.565
TFEB,-0.223538164,0.109,0.891
ZBTB7B,10,10,10
ZBTB7C,-0.025259338,0.453,0.547
ZBTB18,-0.001214013,0.478,0.522
MNX1,-0.019577414,0.428,0.572
PDX1,0.003343284,0.491,0.509
RHOXF1,0.610873387,0.993,0.007
VAX2,10,10,10
ESR1,-0.10781913,0.283,0.717
ESRRB,-0.204636956,0.222,0.778
NR3C1,-0.23126224,0.045,0.955
NR3C2,-0.082093833,0.285,0.715
RARA,0.120595238,0.753,0.247
EGR3,-0.140109543,0.326,0.674
EGR4,-0.304364649,0.109,0.891
GLIS2,0.163413232,0.903,0.097
GLIS3,-0.05682107,0.286,0.714
HIC2,-0.020277949,0.481,0.519
KLF16,0.420010668,0.876,0.124
ZNF143,0.799575089,0.998,0.002
CUX1,-0.06511024,0.287,0.713
ONECUT2,-0.021301531,0.464,0.536
ELK3,-0.168311132,0.232,0.768
ERF,-0.132125421,0.275,0.725
ETS1,0.063787627,0.804,0.196
ETV3,0.931000865,0.98,0.02
HSF2,-0.127143917,0.138,0.862
HSF4,-0.101571823,0.134,0.866
IRF7,0.077829711,0.669,0.331
MEF2D,0.26335977,0.888,0.112
MEIS1,-0.054796799,0.306,0.694
MEIS2,-0.126207265,0.091,0.909
MEIS3,-0.059032519,0.398,0.602
NFKB1,0.074084605,0.777,0.223
NFKB2,-0.738980535,0.057,0.943
PKNOX2,-0.066860085,0.362,0.638
POU2F1,-0.238910117,0.045,0.955
POU6F2,10,10,10
PROX1,-0.040762228,0.357,0.643
RFX2,-0.458116031,0.022,0.978
SMAD3,0.445114899,0.902,0.098
RUNX2,-0.577269417,0.029,0.971
MGA,0.112367435,0.82,0.18
TBX19,0.153776151,0.802,0.198
BHLHE40,-0.087841666,0.274,0.726
CLOCK,0.099842228,0.799,0.201
HEY1,10,10,10
MAX,0.420576769,0.968,0.032
MNT,10,10,10
OLIG1,-0.238249815,0.132,0.868
ATF7,0.023518131,0.573,0.427
CEBPB,0.025186094,0.593,0.407
CEBPG,2.770170295,1,0
CREB3L1,-0.068659346,0.358,0.642
TEF,0.194185619,0.77,0.23
XBP1,-0.146061728,0.209,0.791
FOXO6,-0.016160974,0.475,0.525
RXRB,0.248535578,0.959,0.041
RXRG,-0.264197468,0.052,0.948
TP53,0.353450893,0.948,0.052
GMEB2,0.329349791,0.869,0.131
MTF1,-0.230072084,0.121,0.879
ELK1,10,10,10
HMBOX1,0.164837709,0.898,0.102
FOXK1,10,10,10
HIF1A,0.126906713,0.756,0.244
NEUROD1,-0.007783228,0.469,0.531
NFIC,-0.099972117,0.163,0.837
NFYA,-0.050116068,0.424,0.576
NR2F2,0.067707171,0.598,0.402
PAX5,10,10,10
PBX3,-0.09521192,0.203,0.797
RBPJ,0.244864845,0.752,0.248
RELB,-0.103638986,0.308,0.692
SIX2,-0.58694552,0.016,0.984
SOX13,0.016662304,0.513,0.487
TFDP1,-0.234828482,0.249,0.751
ZBTB7A,0.108571083,0.86,0.14
ZEB1,-0.077781822,0.349,0.651
ZNF24,0.694215318,0.994,0.006
ZNF384,0.649032441,0.999,0.001
ZNF282,1.20136194,0.999,0.001
RORB,-0.992650385,0.001,0.999
RORC,-0.141583421,0.199,0.801
TFE3,0.412490607,0.996,0.004
VDR,-0.106130979,0.373,0.627
IRF3,-0.177726278,0.212,0.788
ARNT2,0.891380217,0.971,0.029
ATF6,0.008749657,0.524,0.476
BACH2,-0.221486065,0.152,0.848
CREB3L4,0.163142188,0.738,0.262
ELF2,-0.316979085,0.016,0.984
ETS2,-0.222946976,0.164,0.836
FOXN3,0.023127173,0.591,0.409
HES6,0.401584304,0.909,0.091
IRF6,-0.206909491,0.136,0.864
KLF10,-0.315578408,0.078,0.922
KLF11,0.07061978,0.638,0.362
KLF2,-0.340451398,0.192,0.808
KLF3,0.037315639,0.563,0.437
KLF6,-0.027588135,0.388,0.612
MAF,0.127382486,0.728,0.272
MAFA,-0.390562021,0.05,0.95
MAZ,0.00706986,0.56,0.44
MSANTD3,0.280691586,0.88,0.12
NR1D1,-0.082821754,0.258,0.742
NR1D2,0.017070237,0.567,0.433
NR2C1,-0.176484842,0.29,0.71
NR6A1,-0.235207221,0.081,0.919
OVOL2,0.142385862,0.626,0.374
PLAGL2,0.457320512,0.993,0.007
PPARD,10,10,10
RFX7,-0.033103926,0.425,0.575
SMAD5,0.363137209,0.988,0.012
SOX12,0.05105786,0.669,0.331
TFAP2E,0.380655371,0.964,0.036
THAP11,-0.373403381,0.017,0.983
THRB,-0.283364204,0.056,0.944
VEZF1,0.918676472,0.99,0.01
ZBTB26,0.099739219,0.675,0.325
ZBTB6,-0.05790803,0.404,0.596
ZKSCAN1,0.210568928,0.903,0.097
ZNF135,-0.101016964,0.297,0.703
ZNF136,0.82820569,0.989,0.011
ZNF140,10,10,10
ZNF274,0.82316369,0.995,0.005
ZNF317,1.34291237,0.998,0.002
ZNF382,0.26514146,0.742,0.258
ZNF460,0.501544469,0.957,0.043
ZNF528,0.441854324,0.924,0.076
ZNF682,-0.061102059,0.344,0.656
ZNF684,-0.127320384,0.277,0.723
ZNF75D,0.057401117,0.618,0.382
ZSCAN29,0.223433696,0.777,0.223
ASCL1,-0.133432725,0.351,0.649
ATF3,-0.272097682,0.025,0.975
BCL6,-0.42878409,0.006,0.994
E2F3,0.174102603,0.664,0.336
E2F4,0.366578714,0.976,0.024
HES1,-0.061716348,0.335,0.665
NRL,0.080212593,0.597,0.403
SOX4,-0.087996323,0.328,0.672
SP1,0.762770416,0.993,0.007
SP2,0.542422523,0.961,0.039
SP3,0.076389239,0.641,0.359
TCFL5,0.028534988,0.537,0.463
ZNF740,10,10,10
ATF2,-0.042567281,0.375,0.625
BACH1,-0.020380942,0.449,0.551
NFYC,-0.022654179,0.455,0.545
PRDM4,1.087743067,0.998,0.002
ZBTB14,10,10,10
