,score,pvalue_low,pvalue_high
IRF2,-0.018597584,0.43,0.57
PAX6,0.336994344,0.939,0.061
PBX1,0.737346616,0.999,0.001
RORA,0.551254905,0.988,0.012
RREB1,0.129789775,0.811,0.189
SOX9,-0.089507693,0.301,0.699
REL,-0.072505137,0.326,0.674
RELA,0.023567051,0.535,0.465
ZNF354C,-0.082984032,0.337,0.663
CTCF,0.106603241,0.658,0.342
REST,-1.146349452,0.009,0.991
NFATC2,-0.513034112,0.022,0.978
INSM1,0.022923283,0.522,0.478
NR4A2,0.117242094,0.685,0.315
PLAG1,-0.020161901,0.479,0.521
FOS,0.378396492,0.978,0.022
FOSL2,0.012148586,0.514,0.486
JUN,0.301720475,0.962,0.038
NR2C2,-0.198471922,0.128,0.872
NRF1,-0.097581045,0.243,0.757
TCF7L2,0.461964297,0.975,0.025
ZBTB33,-0.199455983,0.247,0.753
ELK4,0.144086032,0.87,0.13
ESR2,-0.48958225,0.125,0.875
IRF1,-0.02458521,0.453,0.547
STAT1,0.039234792,0.572,0.428
STAT3,0.24460259,0.952,0.048
YY1,-0.265056826,0.135,0.865
FOXP2,0.740829766,0.991,0.009
SREBF1,0.008730674,0.545,0.455
SREBF2,-0.007069243,0.471,0.529
THAP1,0.1960706,0.69,0.31
KLF5,-0.365639651,0.107,0.893
NFATC3,-0.29346845,0.138,0.862
POU6F1,-0.366629889,0.082,0.918
BHLHE41,-0.359542348,0.049,0.951
CENPB,-0.178893005,0.26,0.74
CREB3,10,10,10
DBP,-0.776724804,0.034,0.966
ELF4,-0.061097862,0.369,0.631
ETV6,0.090173941,0.73,0.27
FOXO3,-0.086700798,0.244,0.756
GRHL1,-0.013435754,0.488,0.512
HINFP,-0.077869467,0.348,0.652
HNF1A,-2.030008347,0,1
HNF1B,-0.508383149,0.052,0.963
HSF1,-0.555146154,0.021,0.979
KLF13,0.061454132,0.727,0.273
MLX,-0.575389864,0.029,0.971
MLXIPL,0.169913183,0.928,0.072
NFIA,0.750546808,0.999,0.001
NFIX,-0.084792713,0.345,0.655
SP4,-0.04272334,0.422,0.578
SRF,10,10,10
TFAP4,-0.278403594,0.274,0.726
TFCP2,0.242178252,0.939,0.061
TFEB,0.417448995,0.989,0.011
ZBTB7B,0.11413946,0.673,0.327
ZBTB7C,-0.724723365,0.038,0.962
ZBTB18,-0.116932083,0.315,0.685
MNX1,0.269675657,0.873,0.127
PDX1,-0.23003943,0.057,0.943
RHOXF1,-0.067438642,0.294,0.706
VAX2,0.109883611,0.626,0.374
ESR1,0.497504757,0.981,0.019
ESRRB,-0.05993529,0.399,0.601
NR3C1,0.959764295,0.989,0.011
NR3C2,0.68063307,0.991,0.009
RARA,-0.031802093,0.366,0.634
EGR3,0.025682325,0.544,0.456
EGR4,0.205603178,0.765,0.235
GLIS2,-0.251780692,0.009,0.991
GLIS3,0.483212899,0.985,0.015
HIC2,-0.071101666,0.397,0.603
KLF16,-0.075516112,0.434,0.566
ZNF143,-0.144839573,0.165,0.835
CUX1,0.887199145,0.999,0.001
ONECUT2,0.55784837,0.997,0.003
ELK3,0.395547999,0.938,0.062
ERF,-0.046045223,0.397,0.603
ETS1,0.068877243,0.765,0.235
ETV3,-0.029479163,0.447,0.553
HSF2,-0.028969461,0.443,0.557
HSF4,0.035056048,0.627,0.373
IRF7,0.026229399,0.593,0.407
MEF2D,0.044074879,0.612,0.388
MEIS1,0.803594813,0.994,0.006
MEIS2,0.335743328,0.977,0.023
MEIS3,-0.198927975,0.282,0.718
NFKB1,-0.105033031,0.238,0.762
NFKB2,0.174016401,0.669,0.331
PKNOX2,-0.254451554,0.06,0.94
POU2F1,0.397532552,0.982,0.018
POU6F2,-0.557259733,0.06,0.94
PROX1,0.031655284,0.601,0.399
RFX2,0.265887673,0.934,0.066
SMAD3,-0.781223461,0.005,0.995
RUNX2,0.297987191,0.872,0.128
MGA,0.005361544,0.525,0.475
TBX19,-0.632219801,0.012,0.988
BHLHE40,-0.098102036,0.262,0.738
CLOCK,0.164439021,0.864,0.136
HEY1,-0.116023443,0.381,0.619
MAX,-0.121487411,0.228,0.772
MNT,-0.308714484,0.307,0.693
OLIG1,0.516088954,0.983,0.017
ATF7,-0.033802259,0.448,0.552
CEBPB,0.095240509,0.787,0.213
CEBPG,-2.586334235,0.001,0.999
CREB3L1,0.12025168,0.749,0.251
TEF,-1.067866382,0.017,0.983
XBP1,-0.034681979,0.45,0.55
FOXO6,0.525123396,0.966,0.034
RXRB,-0.133310845,0.129,0.871
RXRG,0.043196861,0.62,0.38
TP53,0.094971976,0.568,0.432
GMEB2,0.045020664,0.567,0.433
MTF1,0.141900384,0.788,0.212
ELK1,0.021705427,0.529,0.471
HMBOX1,0.357319976,0.985,0.015
FOXK1,-0.639402967,0.071,0.929
HIF1A,-0.570369487,0.012,0.988
NEUROD1,0.639258093,0.99,0.01
NFIC,-0.002069208,0.499,0.501
NFYA,-0.127962616,0.263,0.737
NR2F2,-0.057156071,0.417,0.583
PAX5,1.16724821,0.999,0.001
PBX3,0.870693735,0.999,0.001
RBPJ,-0.48121859,0.089,0.911
RELB,0.138529339,0.571,0.429
SIX2,0.37056854,0.928,0.072
SOX13,-1.386000001,0.003,0.997
TFDP1,0.227187953,0.792,0.208
ZBTB7A,0.044248965,0.719,0.281
ZEB1,0.492648172,0.944,0.056
ZNF24,-0.082465923,0.339,0.661
ZNF384,-0.397346756,0.067,0.933
ZNF282,-0.142114557,0.14,0.86
RORB,1.836363625,0.999,0.001
RORC,-0.00662473,0.48,0.52
TFE3,0.075666858,0.708,0.292
VDR,-0.968885863,0.025,0.975
IRF3,0.024634388,0.53,0.47
