beta_0_motif_HC,beta_1_motif_HC,beta_0_motif_aganist,beta_1_motif_aganist,beta_0_motif_HC_all,beta_1_motif_HC_all,beta_0_motif_aganist_all,beta_1_motif_aganist_all,beta0_down_HC,beta0_up_HC,beta1_down_HC,beta1_up_HC,beta0_down_aganist,beta0_up_aganist,beta1_down_aganist,beta1_up_aganist
HNF1A,BHLHA15,HNF1A,OLIG2,HNF1A,NEUROD1,HNF1A,NEUROD1,HNF1A,NFE2,HNF1A,BATF,HNF1A,SMAD1,HNF1A,MED1
HNF1B,TWIST2,HNF1B,BHLHA15,HNF1B,NEUROD2,HNF1B,NEUROD2,HNF1B,NFE2L1,HNF1B,BATF2,HNF1B,SMAD2,HNF1B,GLI1
HNF4A,TCF4,HNF4A,TWIST2,HMBOX1,NEUROD4,HMBOX1,NEUROD4,HMBOX1,NFE2L2,HMBOX1,BATF3,HMBOX1,SMAD3,HMBOX1,GLI2
HNF4G,ATOH1,HNF4G,TCF4,HNF4A,NEUROD6,HNF4A,NEUROD6,FOXP1,NFE2L3,FOXA1,FOXL1,DMRTA2,SMAD5,CEBPA,GLI3
FOXP3,OLIG2,FOXB1,ATOH1,HNF4G,NEUROG1,HNF4G,NEUROG1,FOXP2,BACH1,FOXA2,FOXL2,DMRT1,SMAD9,CEBPB,GLIS1
FOXL1,ASCL1,ZBTB6,NEUROD1,PPARA,NEUROG2,FOXB1,NEUROG2,FOXP3,BACH2,FOXA3,SMAD1,DMRT2,NFE2,CEBPG,GLIS2
FOXI1,TCF12,SMAD2,TAL1,PPARB,NEUROG3,FOXB2,NEUROG3,FOXP4,c-FOS,FOXB1,SMAD2,DMRT3,NFE2L1,CEBPD,GLIS3
FOXO4,PTF1A,SOX14,NEUROG2,PPARG,NGN1,ZBTB6,NGN1,FOXL1,FOS,FOXB2,SMAD3,DMRTA1,NFE2L2,CEBPE,ZIC1
FOXA3,LHX2,BARHL2,VSX1,FOXM1,NGN2,ZBTB12,NGN2,FOXL2,FOSB,FOXJ1,SMAD5,DMRTB1,NFE2L3,DDIT3,ZIC2
FOXK2,EN1,JUND,VSX2,FOXA1,NGN3,ZBTB26,NGN3,FOXF1,FRA1,FOXJ2,SMAD9,DMRTC1,BACH1,FOXB1,ZIC3
FOXO6,LHX9,CREB1,LHX2,NKX6-1,ATOH1,SMAD1,ATOH1,FOXF2,FRA2,FOXJ3,c-FOS,DMRTC2,BACH2,FOXB2,ZIC4
BCL6,DLX5,ATF2,PRRX2,FOXA2,ATOH7,SMAD2,ATOH7,FOXO1,FOSL1,FOXN1,FOS,FOXD1,c-FOS,SOX7,ZIC5
RARG,NOTO,ZNF416,LHX9,PPARE,ATOH8,SMAD3,ATOH8,FOXO3,FOSL2,FOXN2,FOSB,FOXD2,FOS,SOX17,TCFL5
WT1,PRRX2,HDX,DLX5,FOXA3,BHLHE22,SMAD5,BHLHE22,FOXO4,c-JUN,FOXN3,FRA1,FOXD3,FOSB,SOX18,SOHLH1
