"","name","variability","bootstrap_lower_bound","bootstrap_upper_bound","p_value","p_value_adj"
"MA0030.1_FOXF2","FOXF2",1.19960151042508,1.19274567753646,1.20621069952159,0,0
"MA0031.1_FOXD1","FOXD1",1.24734868356105,1.23971821051205,1.25504522006613,0,0
"MA0051.1_IRF2","IRF2",1.08056146055843,1.07430282189372,1.086728806465,2.42493816094159e-183,3.42630771400899e-183
"MA0057.1_MZF1(var.2)","MZF1(var.2)",1.25502517804646,1.24705450642932,1.26280354911822,0,0
"MA0059.1_MAX::MYC","MAX::MYC",1.14617519468832,1.13972616039684,1.15269526513474,0,0
"MA0066.1_PPARG","PPARG",1.02093776007532,1.01537603580981,1.02661638955579,1.8593248433453e-14,1.9747527279154e-14
"MA0069.1_PAX6","PAX6",1.2656657298679,1.25887109652549,1.27303051355267,0,0
"MA0070.1_PBX1","PBX1",1.62783258185046,1.61837815060268,1.63746257590598,0,0
"MA0071.1_RORA","RORA",1.13113543481369,1.1246022714287,1.13728899380888,0,0
"MA0072.1_RORA(var.2)","RORA(var.2)",1.02745343865176,1.02156074780654,1.0334228122361,1.78583565190364e-23,1.94566947961275e-23
"MA0073.1_RREB1","RREB1",1.34622148587682,1.33858414546879,1.35354689162652,0,0
"MA0074.1_RXRA::VDR","RXRA::VDR",1.07728560636055,1.07177416265952,1.08289196045374,4.33039007489242e-169,5.98501510350852e-169
"MA0077.1_SOX9","SOX9",2.29283817214111,2.26266291405047,2.32457013167693,0,0
"MA0084.1_SRY","SRY",1.30962741308424,1.29781924081857,1.32122631908361,0,0
"MA0091.1_TAL1::TCF3","TAL1::TCF3",3.3714890584008,3.35083150186081,3.39287003659597,0,0
"MA0101.1_REL","REL",1.18081418738258,1.17246042920132,1.1893314151836,0,0
"MA0107.1_RELA","RELA",1.18337058265327,1.173660332965,1.19328650277077,0,0
"MA0115.1_NR1H2::RXRA","NR1H2::RXRA",1.63094072413297,1.62123401105061,1.64067456661921,0,0
"MA0119.1_NFIC::TLX1","NFIC::TLX1",1.15902411941191,1.15211848135503,1.16557924862434,0,0
"MA0130.1_ZNF354C","ZNF354C",1.16008579386377,1.15385993779699,1.16642392847558,0,0
"MA0139.1_CTCF","CTCF",1.98329314843303,1.97176319612733,1.99495418858524,0,0
"MA0149.1_EWSR1-FLI1","EWSR1-FLI1",1.2279398303551,1.21384614181492,1.24185077442531,0,0
"MA0138.2_REST","REST",1.02082869102748,1.01497513148333,1.02642693594704,2.51417142003536e-14,2.66577974687167e-14
"MA0152.1_NFATC2","NFATC2",1.07550782116851,1.06950212535585,1.0812850949209,1.35640780233789e-161,1.85444090470817e-161
"MA0155.1_INSM1","INSM1",1.19539487719119,1.18893155204269,1.20224985808668,0,0
"MA0159.1_RARA::RXRA","RARA::RXRA",1.41088879438603,1.40286595522114,1.41914170084759,0,0
"MA0160.1_NR4A2","NR4A2",1.33435027144277,1.32600268938244,1.34195643210393,0,0
"MA0163.1_PLAG1","PLAG1",0.959086373283657,0.953666007850294,0.964646126812846,1,1
"MA0259.1_ARNT::HIF1A","ARNT::HIF1A",1.03883574289604,1.03330461454234,1.04466460530919,7.80651432972999e-45,8.8876323214372e-45
"MA0468.1_DUX4","DUX4",1.13541908490512,1.12884516175972,1.1418733660724,0,0
"MA0476.1_FOS","FOS",3.52394860496934,3.47345694479855,3.57453337263942,0,0
"MA0478.1_FOSL2","FOSL2",3.76228387778669,3.70596963120461,3.81453372798125,0,0
"MA0479.1_FOXH1","FOXH1",1.02018800552887,1.01435330974879,1.02612000080721,1.43519386108445e-13,1.51919350178338e-13
"MA0488.1_JUN","JUN",1.48002904283692,1.47109418372767,1.48922201776638,0,0
"MA0489.1_JUN(var.2)","JUN(var.2)",3.32273884355521,3.27399391750553,3.36959750873973,0,0
"MA0492.1_JUND(var.2)","JUND(var.2)",1.42543959968172,1.41635087063017,1.43442518758332,0,0
"MA0497.1_MEF2C","MEF2C",1.17797057228529,1.16792233974341,1.18782672207276,0,0
"MA0501.1_MAF::NFE2","MAF::NFE2",1.99786630331551,1.98218371950456,2.01340568744159,0,0
"MA0504.1_NR2C2","NR2C2",1.49433412058215,1.48635429499479,1.50317382784217,0,0
"MA0506.1_NRF1","NRF1",0.890181631726938,0.884859556036169,0.895331220602733,1,1
"MA0507.1_POU2F2","POU2F2",1.02210611900446,1.01630794536476,1.02758972947735,6.67628267796711e-16,7.12662215034263e-16
"MA0513.1_SMAD2::SMAD3::SMAD4","SMAD2::SMAD3::SMAD4",1.11987805036728,1.11338569096302,1.1261556787415,0,0
"MA0517.1_STAT1::STAT2","STAT1::STAT2",1.1955582645035,1.18569211391912,1.20580435905343,0,0
"MA0523.1_TCF7L2","TCF7L2",1.27443989951059,1.26378129502926,1.2849085298491,0,0
"MA0527.1_ZBTB33","ZBTB33",1.02543928931512,1.01938981081134,1.03092797069445,1.94631798115503e-20,2.10962205834098e-20
"MA0076.2_ELK4","ELK4",1.62841910488176,1.59161791545031,1.66479637748566,0,0
"MA0258.2_ESR2","ESR2",1.10894161844592,1.10208623747785,1.11551125349521,0,0
"MA0050.2_IRF1","IRF1",1.28779934181805,1.27846826036723,1.29693230615551,0,0
"MA0137.3_STAT1","STAT1",1.10517944752354,1.0964621177499,1.11308136599982,1.58350478385918e-308,2.50589632045716e-308
"MA0144.2_STAT3","STAT3",1.05163646356478,1.04466855495543,1.05834053412476,2.50655941042286e-77,3.07490718371642e-77
"MA0140.2_GATA1::TAL1","GATA1::TAL1",1.57453381351606,1.56561303026782,1.58353561531329,0,0
"MA0095.2_YY1","YY1",1.06328482197174,1.05709941636122,1.06938459888412,1.27257890647392e-114,1.65070173729096e-114
"MA0593.1_FOXP2","FOXP2",1.36925628335292,1.36130013281953,1.37746014331531,0,0
"MA0595.1_SREBF1","SREBF1",1.08422296411472,1.07788047128689,1.0903868388274,6.05831122474891e-200,8.69594332259877e-200
"MA0596.1_SREBF2","SREBF2",1.08748565224142,1.08131814262143,1.09320800791255,2.46436695290144e-215,3.60264268172427e-215
"MA0597.1_THAP1","THAP1",1.02805925629395,1.02248647811923,1.03390155621181,1.97029732464955e-24,2.15778236419233e-24
"MA0599.1_KLF5","KLF5",1.25758000792582,1.25005965524494,1.2653951612997,0,0
"MA0610.1_DMRT3","DMRT3",1.05488751515665,1.04891999071809,1.06038351099922,5.34224002372966e-87,6.68307892296615e-87
"MA0613.1_FOXG1","FOXG1",1.30643214832006,1.29843086087264,1.31466036449736,0,0
"MA0618.1_LBX1","LBX1",1.3996205641822,1.39185968815221,1.40730569831073,0,0
"MA0625.1_NFATC3","NFATC3",1.14403523122399,1.13722925860466,1.15057399701822,0,0
"MA0628.1_POU6F1","POU6F1",1.21038044629124,1.20351625031774,1.21696286109129,0,0
"MA0630.1_SHOX","SHOX",1.3996205641822,1.39185968815221,1.40730569831073,0,0
"MA0634.1_ALX3","ALX3",1.7069318315898,1.69752242301068,1.71654629515381,0,0
"MA0635.1_BARHL2","BARHL2",1.05050955042977,1.04485446248188,1.05685256831808,4.14694023701963e-74,5.01914564059928e-74
"MA0636.1_BHLHE41","BHLHE41",1.06967854064487,1.06399285271939,1.07575721979736,3.39034601506617e-138,4.52761398214533e-138
"MA0637.1_CENPB","CENPB",1.03643788748646,1.03066735250354,1.0424420080022,9.63197567112067e-40,1.08875724996775e-39
"MA0638.1_CREB3","CREB3",1.07862163752577,1.0730587669102,1.08474199306768,7.81225483669025e-175,1.08446432272476e-174
"MA0639.1_DBP","DBP",1.13128843958389,1.12495612206835,1.13723399714358,0,0
"MA0641.1_ELF4","ELF4",1.29216019851617,1.27448130073967,1.31071302358882,0,0
"MA0136.2_ELF5","ELF5",1.58299664219134,1.55004768932391,1.61621622755972,0,0
"MA0027.2_EN1","EN1",1.38798217429272,1.38030516043907,1.39547023399855,0,0
"MA0642.1_EN2","EN2",1.2009553605253,1.19446143136272,1.20792380477693,0,0
"MA0644.1_ESX1","ESX1",1.36863814864452,1.3614371697235,1.37621729391189,0,0
"MA0645.1_ETV6","ETV6",1.49190885878125,1.46004569756289,1.52531820914291,0,0
"MA0475.2_FLI1","FLI1",1.40467193827961,1.38369044031035,1.4270910180824,0,0
"MA0042.2_FOXI1","FOXI1",1.35046371017929,1.34112877827757,1.35873084454838,0,0
"MA0033.2_FOXL1","FOXL1",1.35046371017929,1.34112877827757,1.35873084454838,0,0
"MA0157.2_FOXO3","FOXO3",1.24734868356105,1.23971821051205,1.25504522006613,0,0
"MA0646.1_GCM1","GCM1",1.08591568021711,1.07947793845578,1.09238780584381,7.37240119290916e-208,1.0679015915587e-207
"MA0647.1_GRHL1","GRHL1",1.61217546596413,1.60174922225612,1.62196044143914,0,0
"MA0648.1_GSC","GSC",1.22840340558535,1.21988862574326,1.23660465662062,0,0
"MA0649.1_HEY2","HEY2",1.09663645284534,1.09088557176836,1.10265290265603,1.73364794379601e-261,2.63165263410761e-261
"MA0131.2_HINFP","HINFP",0.946866870742996,0.942214376191047,0.9519636833431,1,1
"MA0046.2_HNF1A","HNF1A",1.90633140432644,1.89389135516074,1.91922450600656,0,0
"MA0153.2_HNF1B","HNF1B",2.05725223202036,2.04397515899699,2.07178773597525,0,0
"MA0651.1_HOXC11","HOXC11",1.05110956730658,1.04515434899053,1.05677607555449,8.1763413890593e-76,9.99155231520181e-76
"MA0486.2_HSF1","HSF1",1.04673574258917,1.0412399723979,1.05254221189791,7.83320385332687e-64,9.32033466006749e-64
"MA0652.1_IRF8","IRF8",1.101109849055,1.09507218492018,1.10713797322288,1.20733276414247e-285,1.86856146626451e-285
