X,Inter_value,PN_value,TN_value,MF_value,Index_value,BMI_value,Age_value,Inter_p,PN_p,TN_p,MF_p,Index_p,BMI_p,Age_p,TP_value,TP_p
ALX3,2.318402537,-0.529359921,-0.831781664,1.474189233,-3.500513398,0.209939182,0.619893317,0.028241158,0.600881588,0.412828526,0.15199582,0.001631334,0.835291302,0.540524819,-0.20110004,0.842127652
ARGFX,2.504202165,-0.545517541,-1.324533663,1.623701685,-3.475427884,0.127749003,0.745662406,0.018614986,0.589876453,0.196428567,0.116058723,0.001739922,0.899294349,0.462314114,-0.668047768,0.509773984
ARNT::HIF1A,-0.783930034,-0.335930161,-0.528807614,1.123897769,0.381684926,-0.33068074,-0.617667404,0.43990465,0.739520156,0.601259497,0.270949995,0.705682532,0.743438163,0.541969629,-0.12856553,0.898654331
ARNT2,-0.982082707,0.741486374,1.91167327,0.723159501,1.906609409,-0.599793143,-0.015611365,0.334777992,0.464799725,0.066585741,0.475800435,0.067265721,0.553644904,0.987659228,1.017793762,0.317809972
ASCL1,1.01943878,-0.201233898,0.84185392,0.072538972,-2.106423635,-0.333318433,0.939496151,0.317042936,0.842024028,0.407264823,0.942707692,0.044601668,0.741468585,0.355805619,1.065365033,0.296145606
ASCL1(var.2),0.909156693,-0.451984065,-0.079315991,-0.143048747,-1.601400186,-0.471011089,1.504037658,0.371311989,0.654890722,0.937366238,0.887313913,0.120925155,0.64141622,0.144180272,0.450332578,0.656065973
ATF2,-0.192795407,0.886572912,1.707877741,-0.017673261,1.793103502,-1.72614537,0.686632836,0.848562087,0.383137866,0.099133976,0.986029467,0.084166919,0.0957492,0.498169284,0.647196389,0.522969759
ATF3,-0.927206805,1.18895393,2.265697003,0.372740059,1.990870876,-0.848798765,0.444527427,0.362033979,0.244809771,0.031700264,0.712252064,0.056704292,0.403456276,0.660204231,0.843598063,0.406306212
ATF4,0.403457603,0.678800217,0.369193782,-0.852466842,1.788122048,-1.438754965,0.034187071,0.689789074,0.503041881,0.714862909,0.401453827,0.084985393,0.161712298,0.972979468,-0.429751697,0.670786658
ATF6,-0.545165531,1.758838966,3.727331801,0.468138796,2.239324704,-1.879764287,0.11926128,0.590115162,0.089935321,0.000906289,0.643442482,0.033571354,0.070972159,0.905951305,1.618329746,0.117215833
ATF7,-1.049085898,1.114564765,2.251113291,0.345818008,2.059669333,-0.706937577,0.387759805,0.303438871,0.2748602,0.032722963,0.732159609,0.049190874,0.485662283,0.701233996,0.916207271,0.367669491
ATOH1(var.2),1.09916889,0.101027067,1.505279019,0.043987008,-1.63234307,-0.609236308,0.559091267,0.281399174,0.920275469,0.14386241,0.965238466,0.114217279,0.547460536,0.58070771,1.366031982,0.183200107
ATOH7,0.536426989,0.190832804,2.156452981,-0.006072422,-1.003400115,-0.076979738,-0.057124883,0.596056069,0.850084289,0.040117074,0.995199584,0.324576197,0.939207283,0.95486638,1.903058217,0.067746171
