"","X","n_genes","n_counts","percent_mito","log10_n_counts","log_n_counts","norm_log_counts","log10_usable_counts","log_usable_counts","leiden","subtype"
"1","X1_AGAH468_T2D_Male_5",3315,168001,0,5.2253118,12.031726,7.343505,4.4145555,10.164889,1,"beta2"
"2","X2_AGAL381_T2D_Female_5",5671,381209,0,5.581163,12.851103,7.887977,5.006868,11.52874,1,"beta2"
"3","X3_AGAL381_T2D_Female_5",4084,508067,0,5.705921,13.138369,7.474837,4.9522014,11.402865,1,"beta2"
"4","X4_AGAL381_T2D_Female_5",6105,882075,0,5.9455056,13.690032,7.6475163,5.2667794,12.127209,1,"beta2"
"5","X5_AGAL381_T2D_Female_5",4178,286314,0,5.4568424,12.564844,7.9367766,4.903741,11.291281,1,"beta2"
"6","X6_AGAL381_T2D_Female_5",4302,473784,0,5.6755805,13.068506,7.7965536,5.0615807,11.65472,1,"beta2"
"7","X7_AGAL381_T2D_Female_5",3193,393795,0,5.59527,12.883585,8.119189,5.121389,11.792435,1,"beta2"
"8","X8_AGAL381_T2D_Female_5",9321,152379,0,5.182925,11.934127,7.9289927,4.626443,10.652779,1,"beta2"
"9","X9_AGAL381_T2D_Female_5",6004,768879,0,5.885858,13.552689,6.6906686,4.7915783,11.033017,1,"beta2"
"10","X10_AGJU173_T2D_Female_10",7359,2126012,0,6.3275657,14.569759,7.7809896,5.7068067,13.140408,0,"beta1"
"11","X11_AGJU173_T2D_Female_5",5455,2269160,0,6.355865,14.634921,6.769056,5.2956285,12.193636,1,"beta2"
"12","X12_AGJU173_T2D_Female_5",6039,1440245,0,6.1584363,14.180324,7.141471,5.259938,12.111455,1,"beta2"
"13","X13_AGJU173_T2D_Female_5",6844,1783614,0,6.251301,14.394153,6.9999743,5.2913513,12.183786,1,"beta2"
"14","X14_AGJU173_T2D_Female_5",7500,1785880,0,6.251852,14.395422,6.92174,5.2579255,12.106822,1,"beta2"
"15","X15_AGJU173_T2D_Female_5",3487,439055,0,5.642519,12.992379,6.294308,4.3761024,10.076347,1,"beta2"
"16","X16_AGJU173_T2D_Female_5",6068,640446,0,5.8064823,13.36992,7.360639,5.0031676,11.52022,1,"beta2"
"17","X17_AGJU173_T2D_Female_5",6220,1457083,0,6.163484,14.191947,7.453556,5.400522,12.435163,1,"beta2"
"18","X18_AGJU173_T2D_Female_10",6802,2313233,0,6.364219,14.654158,7.048611,5.425392,12.492428,0,"beta1"
"19","X19_AGJU173_T2D_Female_5",7158,1189630,0,6.075412,13.989153,7.5412,5.3505135,12.320013,0,"beta1"
"20","X20_H2280_ND_Female_1",8419,250016,0,5.397968,12.42928,7.81178,4.7905807,11.03072,0,"beta1"
"21","X21_R230_ND_Male_10",6174,2078953,0,6.317845,14.547376,7.010529,5.3624787,12.347564,1,"beta2"
"22","X22_R230_ND_Male_10",5921,1363657,0,6.134705,14.125681,7.8045855,5.524194,12.719926,0,"beta1"
